,0
0,-103.99999999999999
1,-117.99999999999997
2,-81.99999999999999
3,-82.39999999999998
4,-82.79999999999998
5,-81.99999999999999
6,-119.6
7,-45.59999999999999
8,-45.099999999999994
9,-42.19999999999999
10,-43.9
11,-83.19999999999999
12,-48.39999999999999
13,-48.199999999999996
14,-48.3
15,-45.89999999999999
16,-47.8
17,-47.599999999999994
18,-46.39999999999999
19,-46.0
20,-44.999999999999986
21,-45.599999999999994
22,-47.19999999999999
23,-46.6
24,-45.3
25,-46.199999999999996
26,-46.8
27,-47.7
28,-44.099999999999994
29,-45.89999999999999
30,-45.39999999999999
31,-40.79999999999998
32,-47.89999999999999
33,-45.39999999999999
34,-44.8
35,-46.8
36,-46.5
37,-45.3
38,-46.499999999999986
39,-44.9
40,-46.39999999999999
41,-44.39999999999999
42,-45.3
43,-45.099999999999994
44,-46.599999999999994
45,-44.79999999999999
46,-47.8
47,-48.199999999999996
48,-46.999999999999986
49,-49.3
50,-46.0
51,-48.0
52,-47.39999999999999
53,-46.9
54,-45.599999999999994
55,-46.4
56,-45.39999999999999
57,-41.19999999999999
58,-45.8
59,-45.39999999999999
60,-43.39999999999999
61,-43.599999999999994
62,-46.19999999999999
63,-47.3
64,-44.099999999999994
65,-43.0
66,-45.3
67,-43.99999999999999
68,-45.699999999999996
69,-46.099999999999994
70,-47.0
71,-45.8
72,-46.4
73,-46.3
74,-46.9
75,-46.8
76,-43.8
77,-44.999999999999986
78,-42.39999999999999
79,-47.199999999999996
80,-47.89999999999999
81,-46.49999999999999
82,-44.39999999999999
83,-46.3
84,-40.39999999999999
85,-44.599999999999994
86,-46.0
87,-46.599999999999994
88,-43.19999999999999
89,-46.6
90,-48.39999999999999
91,-42.39999999999999
92,-43.99999999999999
93,-47.6
94,-47.89999999999999
95,-47.099999999999994
96,-45.199999999999996
97,-47.79999999999999
98,-46.8
99,-45.599999999999994
100,-46.0
101,-47.199999999999996
102,-41.19999999999999
103,-43.599999999999994
104,-46.5
105,-44.19999999999999
106,-44.499999999999986
107,-46.599999999999994
108,-46.599999999999994
109,-46.099999999999994
110,-49.0
111,-48.199999999999996
112,-48.8
113,-46.39999999999999
114,-48.0
115,-47.39999999999999
116,-49.5
117,-46.9
118,-46.4
119,-45.0
120,-46.599999999999994
121,-46.8
122,-47.599999999999994
123,-48.6
124,-45.8
125,-47.39999999999999
126,-47.199999999999996
127,-47.39999999999999
128,-47.39999999999999
129,-47.099999999999994
130,-46.39999999999999
131,-49.2
132,-46.39999999999999
133,-45.999999999999986
134,-45.19999999999999
135,-47.0
136,-45.3
137,-44.999999999999986
138,-48.0
139,-47.0
140,-45.8
141,-46.8
142,-47.2
143,-46.599999999999994
144,-48.0
145,-46.49999999999999
146,-47.3
147,-46.99999999999999
148,-48.8
149,-46.89999999999999
150,-46.2
151,-49.199999999999996
152,-46.0
153,-46.09999999999999
154,-44.59999999999999
155,-47.699999999999996
156,-46.0
157,-47.3
158,-47.19999999999999
159,-48.8
160,-46.8
161,-46.4
162,-46.39999999999999
163,-48.19999999999999
164,-44.49999999999999
165,-48.6
166,-46.8
167,-47.39999999999999
168,-46.3
169,-47.7
170,-46.699999999999996
171,-44.79999999999999
172,-47.8
173,-45.99999999999999
174,-44.89999999999999
175,-47.39999999999999
176,-46.8
177,-47.199999999999996
178,-47.69999999999999
179,-48.599999999999994
180,-46.8
181,-45.69999999999999
182,-45.39999999999999
183,-44.099999999999994
184,-45.0
185,-47.599999999999994
186,-47.8
187,-49.8
188,-45.199999999999996
189,-46.7
190,-47.79999999999999
191,-44.39999999999999
192,-46.8
193,-46.0
194,-45.69999999999999
195,-47.099999999999994
196,-43.99999999999999
197,-46.0
198,-44.7
199,-43.19999999999999
