,0
0,-95.99999999999999
1,-85.10000000000001
2,-56.39999999999999
3,-95.99999999999999
4,-95.99999999999999
5,-95.99999999999999
6,-55.199999999999996
7,-95.99999999999999
8,-54.4
9,-11.4
10,-41.0
11,-21.400000000000002
12,-58.8
13,-10.7
14,-17.3
15,-24.2
16,-17.9
17,-25.000000000000004
18,-30.599999999999998
19,-22.5
20,-7.6000000000000005
21,-12.3
22,-23.3
23,-68.89999999999999
24,-106.49999999999999
25,-8.899999999999999
26,-8.2
27,-9.899999999999999
28,-99.29999999999998
29,-58.0
30,-39.4
31,-16.900000000000002
32,-12.7
33,-11.900000000000002
34,-30.4
35,-16.1
36,-16.1
37,-11.600000000000001
38,-19.2
39,-12.700000000000001
40,-13.5
41,-13.2
42,-11.100000000000001
43,-16.400000000000002
44,-12.9
45,-16.5
46,-15.900000000000002
47,-15.600000000000001
48,-12.4
49,-20.5
50,-15.600000000000001
51,-13.6
52,-17.900000000000002
53,-14.100000000000001
54,-11.7
55,-26.8
56,-12.8
57,-11.900000000000002
58,-16.1
59,-11.500000000000002
60,-13.7
61,-10.700000000000001
62,-11.900000000000002
63,-15.000000000000002
64,-17.1
65,-14.0
66,-9.6
67,-11.200000000000001
68,-12.0
69,-13.2
70,-8.7
71,-10.500000000000002
72,-9.9
73,-10.5
74,-9.5
75,-9.5
76,-9.5
77,-8.0
78,-9.5
79,-8.7
80,-9.5
81,-10.3
82,-8.7
83,-10.0
84,-7.6000000000000005
85,-8.4
86,-6.9
87,-6.800000000000001
88,-7.6
89,-6.1000000000000005
90,-7.6000000000000005
91,-6.1000000000000005
92,-6.1000000000000005
93,-7.6000000000000005
94,-5.3
95,-7.6000000000000005
96,-7.300000000000001
97,-6.500000000000001
98,-6.800000000000001
99,-6.800000000000001
100,-7.6000000000000005
101,-7.300000000000001
102,-6.800000000000001
103,-5.6
104,-7.2
105,-7.300000000000001
106,-6.800000000000001
107,-5.699999999999999
108,-6.800000000000001
109,-5.6
110,-5.6
111,-6.800000000000001
112,-6.6
113,-7.6000000000000005
114,-6.0
115,-6.0
116,-6.0
117,-6.8
118,-6.4
119,-6.800000000000001
120,-6.800000000000001
121,-6.0
122,-8.7
123,-8.8
124,-7.1000000000000005
125,-7.3
126,-6.0
127,-6.0
128,-6.800000000000001
129,-6.800000000000001
130,-6.800000000000001
131,-9.2
132,-9.0
133,-7.1000000000000005
134,-6.0
135,-6.0
136,-6.0
137,-6.800000000000001
138,-6.0
139,-6.300000000000001
140,-6.0
141,-7.300000000000001
142,-6.0
143,-6.1000000000000005
144,-6.800000000000001
145,-8.7
146,-8.8
147,-8.7
148,-8.899999999999999
149,-9.2
150,-6.0
151,-8.7
152,-6.0
153,-6.0
154,-5.699999999999999
155,-6.800000000000001
156,-9.2
157,-5.699999999999999
158,-5.699999999999999
159,-6.0
160,-6.800000000000001
161,-6.800000000000001
162,-5.699999999999999
163,-6.0
164,-6.1000000000000005
165,-5.699999999999999
166,-6.800000000000001
167,-4.8
168,-6.300000000000001
169,-6.800000000000001
170,-4.8
171,-5.699999999999999
172,-5.6
173,-4.8999999999999995
174,-6.4
175,-5.699999999999999
176,-5.699999999999999
177,-6.0
178,-5.699999999999999
179,-7.300000000000001
180,-6.0
181,-6.500000000000001
182,-4.8
183,-6.800000000000001
184,-6.0
185,-4.8
186,-5.6
187,-6.0
188,-6.0
189,-6.0
190,-6.300000000000001
191,-6.0
192,-6.0
193,-6.0
194,-6.0
195,-8.5
196,-4.8
197,-6.0
198,-6.0
199,-6.800000000000001
200,-4.8
201,-6.300000000000001
202,-6.500000000000001
203,-6.0
204,-6.0
205,-6.500000000000001
206,-6.0
207,-6.0
208,-5.2
209,-6.0
210,-4.8
211,-6.800000000000001
212,-5.699999999999999
213,-6.4
214,-6.300000000000001
215,-6.800000000000001
216,-6.800000000000001
217,-6.0
218,-6.800000000000001
219,-5.699999999999999
220,-6.4
221,-4.8
222,-6.0
223,-6.1000000000000005
224,-6.0
225,-6.0
226,-6.0
227,-6.0
228,-6.0
229,-6.0
230,-5.199999999999999
231,-6.0
232,-6.500000000000001
233,-5.2
234,-5.800000000000001
235,-6.0
236,-6.0
237,-6.0
238,-5.5
239,-6.0
240,-5.1
241,-6.0
242,-6.0
243,-6.4
244,-6.0
245,-5.3
246,-6.1
247,-5.699999999999999
248,-6.0
249,-5.3
250,-5.6
251,-5.2
252,-5.6
253,-6.0
254,-5.199999999999999
255,-5.6
256,-6.800000000000001
257,-5.6
258,-6.800000000000001
259,-6.0
260,-6.0
261,-4.8
262,-4.8
263,-6.0
264,-6.0
265,-6.300000000000001
266,-5.2
267,-6.1
268,-4.8
269,-4.8
270,-6.0
271,-6.0
272,-6.0
273,-6.1
274,-6.300000000000001
275,-5.2
276,-6.0
277,-6.0
278,-5.699999999999999
279,-4.8
280,-5.6
281,-5.2
282,-5.6
283,-4.8
284,-6.4
285,-6.4
286,-6.0
287,-6.0
288,-6.4
289,-6.0
290,-6.0
291,-6.0
292,-5.199999999999999
293,-5.6
294,-4.8
295,-5.2
296,-6.0
297,-6.0
298,-6.0
299,-5.3
300,-6.1
301,-5.6
302,-5.3
303,-5.3
304,-7.6
305,-4.5
306,-6.0
307,-6.1
308,-6.0
309,-5.2
310,-5.2
311,-5.800000000000001
312,-6.0
313,-5.6
314,-5.3
315,-5.6
316,-6.0
317,-6.0
318,-6.8
319,-5.2
320,-4.8
321,-4.5
322,-5.6
323,-6.0
324,-6.300000000000001
325,-6.1
326,-5.2
327,-5.6
328,-5.6
329,-5.6
330,-5.3
331,-5.6
332,-4.8
333,-6.0
334,-5.6
335,-5.6
336,-6.300000000000001
337,-4.5
338,-5.6
339,-5.699999999999999
340,-5.4
341,-5.3
342,-6.1
343,-6.4
344,-4.5
345,-5.2
346,-4.8
347,-5.6
348,-96.29999999999998
349,-4.8
350,-6.1
351,-5.800000000000001
352,-5.6
353,-6.0
354,-6.1
355,-5.300000000000001
356,-5.699999999999999
357,-4.8
358,-4.5
359,-6.0
360,-5.6
361,-5.3
362,-5.6
363,-5.3
364,-5.3
365,-4.5
366,-4.5
367,-5.6
368,-4.8
369,-5.6
370,-5.2
371,-5.3
372,-4.8
373,-6.1
374,-5.3
375,-5.2
376,-5.2
377,-4.8
378,-6.1
379,-6.4
380,-6.0
381,-6.0
382,-5.2
383,-4.5
384,-6.0
385,-5.5
386,-5.2
387,-5.3
388,-5.3
389,-5.2
390,-5.6
391,-5.6
392,-5.0
393,-6.1
394,-7.3
395,-5.6
396,-5.6
397,-5.6
398,-5.3
399,-5.3
400,-5.3
401,-5.3
402,-5.3
403,-5.3
404,-5.3
405,-5.3
406,-5.199999999999999
407,-5.1
408,-5.6
409,-5.2
410,-5.6
411,-5.2
412,-5.6
413,-6.1
414,-6.0
415,-4.8999999999999995
416,-4.8999999999999995
417,-5.3
418,-5.0
419,-5.6
420,-5.3
421,-5.6
422,-5.2
423,-5.300000000000001
424,-4.5
425,-5.2
426,-4.5
427,-4.5
428,-6.0
429,-6.0
430,-4.8
431,-5.3
432,-5.6
433,-5.2
434,-5.6
435,-5.3
436,-5.3
437,-5.2
438,-5.6
439,-6.0
440,-6.0
441,-5.3
442,-5.3
443,-6.1
444,-6.0
445,-6.1
446,-6.0
447,-4.8
448,-5.2
449,-4.8
450,-4.8
451,-5.300000000000001
452,-5.2
453,-5.3
454,-5.5
455,-5.2
456,-6.0
457,-5.3
458,-5.3
459,-5.2
460,-6.0
461,-6.0
462,-5.6
463,-4.5
464,-5.2
465,-5.3
466,-4.5
467,-5.6
468,-5.6
469,-5.3
470,-5.2
471,-4.5
472,-6.0
473,-6.0
474,-5.3
475,-5.6
476,-4.8
477,-5.3
478,-5.3
479,-4.5
480,-5.3
481,-5.6
482,-5.2
483,-5.3
484,-5.2
485,-5.2
486,-5.2
487,-6.8
488,-5.6
489,-5.300000000000001
490,-6.8
491,-6.0
492,-6.0
493,-4.5
494,-6.1
495,-4.8
496,-5.2
497,-4.5
498,-5.3
499,-4.8
500,-5.3
501,-5.3
502,-5.6
503,-5.2
504,-5.2
505,-5.3
506,-5.3
507,-5.6
508,-5.2
509,-6.1
510,-5.2
511,-5.3
512,-5.300000000000001
513,-5.6
514,-4.5
515,-5.6
516,-5.2
