,0
0,-120.0000000000002
1,-50.3
2,-44.19999999999996
3,-43.89999999999998
4,-41.89999999999996
5,-42.999999999999986
6,-39.799999999999976
7,-118.8000000000002
8,-39.29999999999999
9,-42.20000000000002
10,-44.199999999999974
11,-41.49999999999997
12,-106.30000000000013
13,-45.50000000000001
14,-43.399999999999984
15,-43.1
16,-42.19999999999997
17,-41.99999999999996
18,-42.49999999999999
19,-42.199999999999974
20,-43.39999999999998
21,-42.80000000000001
22,-39.199999999999974
23,-41.99999999999996
24,-41.59999999999998
25,-45.79999999999999
26,-43.19999999999999
27,-43.599999999999966
28,-42.199999999999996
29,-43.39999999999999
30,-43.59999999999998
31,-44.199999999999996
32,-41.999999999999964
33,-40.8
34,-41.699999999999974
35,-40.699999999999996
36,-43.19999999999996
37,-43.99999999999999
38,-45.799999999999976
39,-44.89999999999996
40,-43.39999999999999
41,-43.49999999999999
42,-46.79999999999998
43,-46.19999999999998
44,-42.599999999999994
45,-46.09999999999998
46,-42.99999999999997
47,-43.39999999999998
48,-40.999999999999986
49,-43.39999999999998
50,-40.799999999999976
51,-39.599999999999994
52,-38.599999999999994
53,-37.599999999999994
54,-38.39999999999999
55,-40.699999999999974
56,-39.800000000000004
57,-39.8
58,-39.39999999999999
59,-40.099999999999966
60,-37.60000000000001
61,-38.30000000000001
62,-37.9
63,-38.599999999999994
64,-38.599999999999994
65,-38.79999999999999
66,-37.60000000000001
67,-40.999999999999986
68,-40.800000000000004
69,-40.499999999999986
70,-39.000000000000014
71,-39.39999999999998
72,-39.79999999999997
73,-40.0
74,-39.19999999999999
75,-39.000000000000014
76,-39.19999999999999
77,-40.39999999999996
78,-41.5
79,-38.99999999999999
80,-38.60000000000001
81,-39.39999999999997
82,-42.89999999999998
83,-38.7
84,-38.89999999999999
85,-37.59999999999999
86,-42.399999999999956
87,-39.19999999999999
88,-38.69999999999999
89,-39.79999999999999
90,-38.19999999999999
91,-42.90000000000002
92,-38.19999999999999
93,-36.60000000000001
94,-39.89999999999999
95,-40.49999999999999
96,-40.800000000000004
97,-38.5
98,-37.900000000000006
99,-41.99999999999997
100,-39.2
101,-42.599999999999994
102,-40.39999999999998
103,-37.79999999999999
104,-40.10000000000002
105,-39.29999999999998
106,-37.99999999999999
107,-38.499999999999986
108,-37.6
109,-39.39999999999999
110,-39.79999999999997
111,-40.099999999999994
112,-41.199999999999996
113,-38.79999999999998
114,-39.199999999999974
115,-39.6
116,-39.29999999999999
117,-39.09999999999998
118,-37.400000000000006
119,-38.400000000000006
120,-39.39999999999998
121,-39.20000000000001
122,-38.099999999999994
