,0
0,-41.799999999999976
1,-60.00000000000006
2,-39.99999999999999
3,-60.00000000000006
4,-41.199999999999996
5,-61.80000000000006
6,-60.00000000000006
7,-60.00000000000006
8,-60.00000000000006
9,-60.00000000000006
10,-60.00000000000006
11,-60.00000000000006
12,-60.00000000000006
13,-60.00000000000006
14,-62.10000000000004
15,-49.499999999999986
16,-39.2
17,-60.00000000000006
18,-60.00000000000006
19,-43.59999999999997
20,-60.00000000000006
21,-60.00000000000006
22,-60.00000000000006
23,-60.00000000000006
24,-60.00000000000006
25,-60.00000000000006
26,-60.60000000000006
27,-64.20000000000002
28,-60.00000000000006
29,-60.00000000000006
30,-60.300000000000054
31,-60.00000000000006
32,-60.00000000000006
33,-60.00000000000006
34,-60.00000000000006
35,-60.00000000000006
36,-60.00000000000006
37,-60.00000000000006
38,-60.00000000000006
39,-60.00000000000006
40,-60.00000000000006
41,-60.900000000000055
42,-60.00000000000006
43,-60.00000000000006
44,-60.00000000000006
45,-57.700000000000024
46,-60.00000000000006
47,-60.00000000000006
48,-39.79999999999999
49,-41.899999999999984
50,-60.00000000000006
51,-39.20000000000001
52,-60.00000000000006
53,-49.899999999999935
54,-60.00000000000006
55,-35.30000000000001
56,-46.2
57,-41.699999999999974
58,-60.00000000000006
59,-60.00000000000006
60,-60.00000000000006
61,-60.60000000000005
62,-60.00000000000006
63,-60.00000000000006
64,-43.6
65,-40.69999999999999
66,-42.59999999999999
67,-61.20000000000006
68,-52.20000000000002
69,-51.800000000000004
70,-53.50000000000002
71,-60.00000000000006
72,-60.900000000000055
73,-42.4
74,-54.30000000000002
75,-62.100000000000065
76,-43.20000000000001
77,-62.10000000000005
78,-41.100000000000016
79,-43.5
80,-60.00000000000006
81,-60.00000000000006
82,-50.89999999999999
83,-43.20000000000001
84,-60.00000000000006
85,-60.00000000000006
86,-60.00000000000006
87,-62.40000000000006
88,-60.00000000000006
89,-55.60000000000002
90,-61.80000000000006
91,-63.00000000000006
92,-60.00000000000006
93,-60.00000000000006
94,-47.400000000000006
95,-60.00000000000006
96,-60.00000000000006
97,-50.49999999999997
