,0
0,-108.60000000000008
1,-31.299999999999994
2,-106.70000000000007
3,-7.799999999999999
4,-43.19999999999999
5,-12.6
6,-112.40000000000009
7,-93.40000000000003
8,-93.40000000000003
9,-1.6
10,-107.20000000000007
11,-91.50000000000004
12,-91.50000000000003
13,-50.999999999999986
14,-104.80000000000007
15,-0.1
16,-3.5
17,-116.2000000000001
18,-97.20000000000005
19,-4.5
20,-101.00000000000006
21,-101.00000000000006
22,-0.6
23,-101.00000000000006
24,-0.1
25,-95.30000000000005
26,-12.6
27,-108.60000000000008
28,-19.900000000000002
29,-101.00000000000006
30,-118.10000000000011
31,-14.1
32,-3.5
33,-7.299999999999999
34,-112.40000000000009
35,-42.899999999999984
36,-110.50000000000009
37,-112.40000000000009
38,-0.6
39,-89.60000000000004
40,-3.0
41,-101.00000000000006
42,-108.60000000000008
43,-87.70000000000003
44,-54.999999999999986
45,-82.4
46,-68.69999999999999
47,-93.40000000000003
48,-81.60000000000001
49,-23.799999999999997
50,-2.5
51,-52.59999999999999
52,-85.80000000000003
53,-27.499999999999996
54,-120.00000000000011
55,-3.5
56,-99.10000000000005
57,-89.60000000000004
58,-74.8
59,-101.00000000000006
60,-2.5
61,-91.50000000000004
62,-112.40000000000009
63,-99.10000000000007
64,-0.6
65,-0.1
66,-78.2
67,-116.2000000000001
68,-95.30000000000004
69,-93.40000000000003
70,-0.1
71,-112.40000000000009
72,-76.29999999999998
73,-2.5
74,-114.3000000000001
75,-91.50000000000004
76,-113.40000000000009
77,-110.50000000000009
78,-120.00000000000011
79,-8.799999999999999
80,-93.40000000000005
81,-91.50000000000003
82,-91.50000000000004
83,-0.1
84,-0.1
85,-0.1
86,-83.90000000000002
87,-92.80000000000004
88,-3.5
89,-97.20000000000005
90,-99.10000000000005
91,-0.1
92,-0.1
93,-120.00000000000011
94,-95.30000000000004
95,-106.70000000000007
96,-102.90000000000006
97,-5.8999999999999995
98,-0.1
99,-108.60000000000008
100,-91.50000000000003
101,-12.7
102,-0.1
103,-85.20000000000002
104,-15.1
105,-7.799999999999999
106,-0.1
107,-27.999999999999996
108,-5.3999999999999995
109,-3.0
110,-64.49999999999997
111,-8.299999999999999
112,-91.50000000000003
113,-78.2
114,-96.80000000000004
115,-94.40000000000003
116,-114.3000000000001
117,-114.3000000000001
118,-60.79999999999998
119,-38.99999999999999
120,-118.10000000000011
121,-82.9
122,-120.00000000000011
123,-72.49999999999999
124,-102.90000000000006
125,-68.69999999999999
126,-50.499999999999986
127,-73.19999999999999
128,-10.4
129,-102.90000000000006
130,-89.60000000000002
131,-93.40000000000003
132,-97.20000000000005
133,-97.20000000000006
134,-95.30000000000005
135,-10.2
136,-104.80000000000007
137,-0.1
138,-112.40000000000009
139,-29.399999999999995
140,-0.1
141,-0.1
142,-84.30000000000001
143,-87.70000000000002
144,-101.00000000000006
145,-0.1
146,-41.99999999999999
147,-5.8999999999999995
148,-97.20000000000005
149,-0.1
150,-108.60000000000008
151,-0.1
152,-116.2000000000001
153,-2.5
154,-0.1
155,-10.799999999999999
156,-0.1
157,-70.29999999999998
158,-110.50000000000009
159,-0.6
160,-110.50000000000009
161,-95.30000000000005
162,-3.5
163,-2.5
164,-0.1
165,-101.00000000000006
166,-7.299999999999999
167,-53.29999999999999
168,-10.7
169,-24.799999999999997
170,-0.1
171,-95.30000000000004
172,-11.2
173,-38.49999999999999
174,-91.50000000000004
175,-36.599999999999994
176,-104.80000000000007
177,-12.1
178,-102.90000000000006
179,-101.00000000000006
180,-15.1
181,-62.99999999999998
182,-3.0
183,-62.59999999999998
184,-6.8999999999999995
185,-57.29999999999998
186,-0.1
187,-4.8999999999999995
188,-91.50000000000004
189,-106.70000000000007
190,-0.1
191,-3.5
192,-91.50000000000003
193,-0.1
194,-7.799999999999999
195,-66.19999999999997
196,-2.5
197,-89.60000000000004
198,-77.4
199,-118.10000000000011
200,-26.599999999999998
201,-95.30000000000004
202,-25.699999999999996
203,-0.1
204,-91.50000000000004
205,-91.50000000000004
206,-102.90000000000008
207,-12.6
208,-95.30000000000004
209,-0.1
210,-2.5
211,-17.900000000000002
212,-0.1
213,-106.70000000000007
214,-97.20000000000005
215,-82.00000000000001
216,-108.60000000000008
217,-3.0
218,-120.00000000000011
219,-2.5
220,-0.1
221,-12.700000000000001
222,-4.0
223,-3.5
224,-16.1
225,-30.399999999999995
226,-80.10000000000001
227,-44.29999999999999
228,-0.1
229,-0.1
230,-102.90000000000006
231,-104.80000000000007
232,-110.50000000000009
233,-9.299999999999999
234,-62.899999999999984
235,-0.1
236,-83.90000000000002
237,-87.10000000000002
238,-22.3
239,-102.90000000000008
240,-1.6
241,-68.69999999999999
242,-82.00000000000001
243,-91.50000000000004
244,-39.599999999999994
245,-12.6
246,-3.0
247,-82.00000000000001
248,-108.60000000000008
249,-55.19999999999998
250,-31.799999999999994
251,-0.6
252,-120.00000000000011
253,-108.60000000000008
254,-104.80000000000007
255,-46.19999999999999
256,-95.30000000000004
257,-2.5
258,-106.70000000000007
259,-102.90000000000008
260,-19.1
261,-120.00000000000011
262,-76.3
263,-0.1
264,-93.40000000000005
265,-95.30000000000004
266,-12.1
267,-111.00000000000009
268,-118.10000000000011
269,-0.1
270,-55.99999999999998
271,-85.80000000000003
272,-5.3999999999999995
273,-13.6
274,-120.00000000000011
275,-57.29999999999998
276,-83.9
277,-110.50000000000009
278,-0.6
279,-3.0
280,-0.1
281,-80.10000000000001
282,-91.50000000000003
283,-0.1
284,-30.399999999999995
285,-120.00000000000011
286,-64.69999999999997
287,-12.1
288,-73.69999999999999
289,-85.80000000000003
290,-41.099999999999994
291,-7.799999999999999
292,-4.8999999999999995
293,-80.10000000000001
294,-110.50000000000009
295,-0.1
296,-1.1
297,-120.00000000000011
298,-0.6
299,-3.0
300,-74.4
301,-45.899999999999984
302,-16.5
303,-2.5
304,-3.0
305,-120.00000000000011
306,-73.79999999999998
307,-15.5
308,-49.09999999999999
309,-0.1
310,-2.5
311,-3.0
312,-3.5
313,-114.3000000000001
314,-101.00000000000006
315,-97.20000000000005
316,-47.19999999999999
317,-14.1
318,-4.0
319,-2.5
320,-3.0
321,-0.1
322,-0.1
323,-0.1
324,-95.30000000000004
325,-10.7
326,-93.40000000000005
327,-102.90000000000006
328,-93.40000000000005
329,-0.6
330,-95.30000000000005
331,-1.1
332,-85.80000000000003
333,-3.5
334,-29.399999999999995
335,-5.3999999999999995
336,-50.59999999999998
337,-7.299999999999999
338,-80.10000000000002
339,-76.5
340,-74.39999999999999
341,-21.799999999999997
342,-104.80000000000007
343,-116.2000000000001
344,-106.70000000000007
345,-21.7
346,-0.1
347,-118.10000000000011
348,-106.70000000000007
349,-3.0
350,-12.1
351,-0.1
352,-38.69999999999999
353,-0.1
354,-66.49999999999997
355,-68.89999999999998
356,-101.00000000000006
357,-83.90000000000002
358,-9.299999999999999
359,-76.30000000000001
360,-80.10000000000001
361,-91.50000000000004
362,-87.70000000000002
363,-0.1
364,-5.3999999999999995
365,-42.39999999999999
366,-23.299999999999997
367,-108.60000000000008
368,-34.3
369,-0.1
370,-0.1
371,-69.79999999999998
372,-62.69999999999998
373,-20.8
374,-120.00000000000011
375,-7.799999999999999
376,-7.299999999999999
377,-86.80000000000001
378,-76.30000000000001
379,-0.1
380,-76.3
381,-9.7
382,-9.7
383,-89.60000000000004
384,-32.29999999999999
385,-85.80000000000001
386,-0.1
387,-12.1
388,-0.1
389,-85.80000000000003
390,-0.6
391,-94.20000000000005
392,-99.10000000000005
393,-6.3999999999999995
394,-45.29999999999999
395,-99.10000000000005
396,-76.30000000000001
397,-2.1
398,-0.1
399,-6.3999999999999995
400,-101.00000000000006
401,-108.60000000000008
402,-0.6
403,-2.5
404,-102.90000000000006
405,-4.0
406,-83.4
407,-0.1
408,-3.0
409,-12.1
410,-44.29999999999999
411,-95.30000000000005
412,-99.10000000000005
413,-3.0
414,-74.4
415,-89.60000000000002
416,-87.70000000000002
417,-2.5
418,-3.0
419,-3.0
420,-101.00000000000006
421,-4.5
422,-88.00000000000003
423,-25.099999999999998
424,-108.60000000000008
425,-0.1
426,-110.50000000000009
427,-95.30000000000004
428,-64.99999999999997
429,-5.3999999999999995
430,-0.1
431,-37.599999999999994
432,-80.10000000000001
433,-93.40000000000005
434,-0.1
435,-56.59999999999998
436,-27.999999999999996
437,-109.60000000000008
438,-0.6
439,-8.4
440,-91.50000000000004
441,-93.40000000000003
442,-0.1
