,0
0,-46.59999999999999
1,-43.79999999999999
2,-47.999999999999986
3,-6.8999999999999995
4,-31.199999999999996
5,-47.999999999999986
6,-46.59999999999999
7,-42.39999999999999
8,-19.9
9,-47.999999999999986
10,-1.1
11,-12.700000000000001
12,-39.49999999999999
13,-29.099999999999998
14,-46.59999999999999
15,-47.999999999999986
16,-47.999999999999986
17,-8.299999999999999
18,-46.59999999999999
19,-6.8999999999999995
20,-47.999999999999986
21,-47.999999999999986
22,-47.999999999999986
23,-29.799999999999997
24,-4.5
25,-43.79999999999998
26,-39.599999999999994
27,-47.999999999999986
28,-40.99999999999999
29,-46.59999999999999
30,-47.999999999999986
31,-36.8
32,-4.5
33,-46.59999999999999
34,-47.999999999999986
35,-36.79999999999999
36,-45.19999999999998
37,-22.3
38,-47.999999999999986
39,-46.59999999999999
40,-45.19999999999999
41,-38.19999999999999
42,-38.19999999999999
43,-42.39999999999999
44,-47.999999999999986
45,-47.999999999999986
46,-1.1
47,-47.999999999999986
48,-39.599999999999994
49,-25.7
50,-3.5
51,-47.999999999999986
52,-47.999999999999986
53,-43.79999999999999
54,-35.4
55,-39.599999999999994
56,-27.499999999999996
57,-45.19999999999999
58,-6.5
59,-25.299999999999997
60,-46.59999999999999
61,-46.59999999999999
62,-36.79999999999999
63,-36.79999999999999
64,-47.999999999999986
65,-24.9
66,-32.599999999999994
67,-6.9
68,-47.999999999999986
69,-14.1
70,-45.19999999999999
71,-38.19999999999999
72,-6.9
73,-43.79999999999999
74,-33.99999999999999
75,-40.99999999999999
76,-35.39999999999999
77,-38.199999999999996
78,-47.999999999999986
79,-47.999999999999986
80,-39.59999999999999
81,-15.7
82,-46.59999999999999
83,-42.39999999999999
84,-46.59999999999999
85,-40.999999999999986
86,-18.5
87,-36.8
88,-46.59999999999999
89,-47.999999999999986
90,-42.39999999999999
91,-29.799999999999994
92,-43.79999999999999
93,-8.299999999999999
94,-47.999999999999986
95,-8.299999999999999
96,-43.79999999999998
97,-1.1
98,-46.59999999999999
99,-34.0
100,-43.79999999999999
101,-47.999999999999986
102,-47.999999999999986
103,-39.59999999999999
104,-47.999999999999986
105,-43.79999999999999
106,-42.39999999999999
107,-31.499999999999996
108,-40.999999999999986
109,-42.39999999999999
110,-36.79999999999999
111,-13.7
112,-32.599999999999994
113,-8.9
114,-10.299999999999999
115,-40.999999999999986
116,-39.59999999999999
117,-6.8999999999999995
118,-38.19999999999999
119,-47.999999999999986
120,-46.59999999999999
121,-47.999999999999986
122,-6.8999999999999995
123,-10.7
124,-36.8
125,-4.5
126,-47.999999999999986
127,-40.999999999999986
128,-47.999999999999986
129,-7.5
130,-38.19999999999999
131,-40.999999999999986
132,-46.59999999999999
133,-45.19999999999998
134,-25.7
135,-47.999999999999986
136,-6.8999999999999995
137,-42.399999999999984
138,-47.999999999999986
139,-15.100000000000001
140,-35.4
141,-4.5
142,-35.39999999999999
143,-38.199999999999996
144,-40.999999999999986
145,-40.09999999999999
146,-18.700000000000003
147,-29.899999999999995
148,-46.59999999999999
149,-40.999999999999986
150,-23.299999999999997
151,-10.299999999999999
152,-45.19999999999999
153,-47.999999999999986
154,-47.999999999999986
155,-42.39999999999999
156,-33.99999999999999
157,-42.399999999999984
158,-5.1
159,-42.39999999999999
160,-45.19999999999999
161,-42.39999999999999
162,-6.8999999999999995
163,-47.999999999999986
164,-38.199999999999996
165,-40.999999999999986
166,-38.099999999999994
167,-47.999999999999986
168,-47.999999999999986
169,-8.299999999999999
170,-24.5
171,-46.59999999999999
172,-3.1
173,-33.99999999999999
174,-47.999999999999986
175,-47.999999999999986
176,-11.7
177,-47.999999999999986
178,-47.999999999999986
179,-45.19999999999999
180,-38.19999999999999
181,-43.79999999999998
182,-43.79999999999999
183,-47.999999999999986
184,-2.1
185,-47.999999999999986
186,-47.999999999999986
187,-47.999999999999986
188,-46.59999999999999
189,-3.5
190,-47.999999999999986
191,-43.79999999999998
192,-3.5
193,-40.99999999999999
194,-42.39999999999999
195,-5.5
196,-46.59999999999999
197,-38.699999999999996
198,-47.999999999999986
199,-2.1
200,-16.5
201,-39.59999999999999
202,-42.399999999999984
203,-43.79999999999999
204,-43.79999999999999
205,-29.799999999999997
206,-39.59999999999999
207,-40.49999999999999
208,-2.5
209,-16.5
210,-47.999999999999986
211,-45.19999999999999
212,-2.1
213,-4.5
214,-45.19999999999999
215,-47.999999999999986
216,-47.999999999999986
217,-7.5
218,-47.999999999999986
219,-47.999999999999986
220,-8.9
221,-11.299999999999999
222,-39.59999999999999
223,-45.19999999999999
224,-45.19999999999999
225,-42.399999999999984
226,-42.39999999999999
227,-46.59999999999999
228,-43.79999999999999
229,-46.59999999999999
230,-46.59999999999999
231,-3.5
232,-16.700000000000003
233,-7.5
234,-12.3
235,-13.1
236,-38.19999999999999
237,-43.79999999999998
238,-6.5
239,-46.59999999999999
240,-1.1
241,-28.9
242,-21.3
243,-5.8999999999999995
244,-33.99999999999999
245,-15.5
246,-3.5
247,-46.59999999999999
248,-6.5
249,-6.8999999999999995
250,-42.39999999999999
251,-35.39999999999999
252,-47.999999999999986
253,-36.79999999999999
254,-34.3
255,-46.59999999999999
256,-46.59999999999999
257,-42.399999999999984
258,-47.999999999999986
259,-25.7
260,-14.7
261,-5.5
262,-47.999999999999986
263,-38.19999999999999
264,-43.79999999999999
265,-39.599999999999994
266,-38.199999999999996
267,-47.999999999999986
268,-45.19999999999998
269,-42.399999999999984
270,-47.999999999999986
271,-40.99999999999999
272,-23.7
273,-45.19999999999999
274,-40.999999999999986
275,-32.599999999999994
276,-38.099999999999994
277,-47.999999999999986
278,-6.5
279,-11.7
280,-32.599999999999994
281,-46.59999999999999
282,-6.8999999999999995
283,-47.999999999999986
284,-43.79999999999998
285,-47.999999999999986
286,-32.599999999999994
287,-24.3
288,-38.19999999999999
289,-27.0
290,-43.79999999999999
291,-33.99999999999999
292,-6.8999999999999995
293,-31.199999999999996
294,-29.799999999999997
295,-45.19999999999998
296,-33.99999999999999
297,-38.19999999999999
298,-46.59999999999999
299,-32.599999999999994
300,-22.700000000000003
301,-35.39999999999999
302,-2.5
303,-29.799999999999997
304,-43.79999999999998
305,-9.299999999999999
306,-42.39999999999999
307,-45.19999999999999
308,-47.999999999999986
309,-29.799999999999997
310,-42.399999999999984
311,-39.59999999999999
312,-47.999999999999986
313,-46.59999999999999
314,-17.1
315,-47.999999999999986
316,-32.599999999999994
317,-46.59999999999999
318,-45.19999999999999
319,-47.999999999999986
320,-14.3
321,-47.999999999999986
322,-4.5
323,-3.5
324,-3.5
325,-40.99999999999999
326,-5.5
327,-47.999999999999986
328,-18.1
329,-13.7
330,-38.19999999999999
331,-45.19999999999999
332,-47.999999999999986
333,-20.9
334,-13.1
335,-47.999999999999986
336,-10.7
337,-45.19999999999998
338,-44.29999999999999
339,-17.1
340,-47.999999999999986
341,-1.1
342,-43.79999999999998
343,-32.599999999999994
344,-47.999999999999986
345,-8.299999999999999
346,-4.5
347,-21.3
348,-39.599999999999994
349,-47.999999999999986
350,-4.5
351,-3.5
352,-47.999999999999986
353,-40.999999999999986
354,-43.79999999999999
355,-47.999999999999986
356,-33.99999999999999
357,-33.99999999999999
358,-33.29999999999999
359,-19.900000000000002
360,-2.5
361,-47.999999999999986
362,-5.8999999999999995
363,-40.999999999999986
364,-46.59999999999999
365,-33.99999999999999
366,-6.8999999999999995
367,-47.999999999999986
368,-45.19999999999999
369,-5.8999999999999995
370,-42.39999999999999
371,-23.7
372,-46.59999999999999
373,-45.19999999999999
374,-43.79999999999999
375,-46.59999999999999
376,-10.9
377,-46.59999999999999
378,-38.19999999999999
379,-42.39999999999999
380,-12.299999999999999
381,-46.59999999999999
382,-9.9
383,-34.0
384,-39.599999999999994
385,-47.999999999999986
386,-16.300000000000004
387,-12.7
388,-8.9
389,-6.8999999999999995
390,-47.999999999999986
391,-45.19999999999998
392,-6.8999999999999995
393,-26.3
394,-11.299999999999999
395,-47.999999999999986
396,-1.1
397,-47.999999999999986
398,-33.99999999999999
399,-36.79999999999999
400,-47.999999999999986
401,-47.999999999999986
402,-33.29999999999999
403,-46.59999999999999
404,-29.8
405,-47.999999999999986
406,-47.999999999999986
407,-32.599999999999994
408,-15.1
409,-21.7
410,-6.5
411,-47.999999999999986
412,-10.9
413,-35.39999999999999
414,-47.999999999999986
415,-28.4
416,-33.99999999999999
417,-46.59999999999999
418,-32.599999999999994
419,-3.5
420,-36.8
421,-40.999999999999986
422,-32.599999999999994
423,-24.299999999999997
424,-45.19999999999999
425,-8.9
426,-31.199999999999996
427,-47.999999999999986
428,-32.599999999999994
429,-36.79999999999999
430,-29.799999999999997
431,-47.999999999999986
432,-19.500000000000004
433,-5.8999999999999995
434,-32.599999999999994
435,-11.7
436,-42.399999999999984
437,-28.399999999999995
438,-10.9
439,-28.4
440,-47.999999999999986
