,0
0,-45.69999999999998
1,-93.40000000000003
2,-112.40000000000009
3,-74.4
4,1.0
5,1.0
6,-55.69999999999998
7,-75.60000000000001
8,-120.00000000000011
9,-91.50000000000004
10,-106.70000000000007
11,-89.60000000000004
12,-91.40000000000003
13,-102.90000000000006
14,-95.30000000000005
15,0.5
16,-70.6
17,-1.4
18,-78.2
19,1.0
20,-33.699999999999996
21,-1.9
22,-120.00000000000011
23,-116.2000000000001
24,-87.70000000000002
25,-66.49999999999999
26,-104.80000000000007
27,1.0
28,-101.00000000000006
29,-76.30000000000001
30,-1.9
31,-102.90000000000006
32,-97.20000000000005
33,-38.59999999999999
34,-50.399999999999984
35,-112.40000000000009
36,-78.2
37,1.0
38,-112.40000000000009
39,-7.199999999999999
40,-1.4
41,-27.899999999999995
42,-108.60000000000008
43,1.0
44,-106.70000000000007
45,1.0
46,-95.30000000000005
47,-9.6
48,1.0
49,-55.19999999999998
50,-89.40000000000003
51,-112.40000000000009
52,-10.7
53,-99.80000000000007
54,-99.10000000000005
55,-99.10000000000005
56,-78.2
57,-106.70000000000007
58,0.5
59,-40.99999999999999
60,-4.8
61,-120.00000000000011
62,-95.30000000000004
63,-23.9
64,-94.20000000000005
65,-106.70000000000007
66,-87.70000000000002
67,-110.50000000000009
68,-104.80000000000007
69,-6.699999999999999
70,-110.50000000000009
71,-82.00000000000001
72,-17.3
73,-91.50000000000003
74,-44.499999999999986
75,-89.60000000000002
76,-110.50000000000009
77,-110.50000000000009
78,-55.69999999999998
79,-101.00000000000006
80,-95.30000000000004
81,-99.10000000000005
82,-1.4
83,-31.699999999999996
84,-101.00000000000007
85,1.0
86,-89.60000000000002
87,-65.29999999999998
88,-110.50000000000009
89,-1.9
90,-97.20000000000005
91,-81.10000000000002
92,-46.09999999999999
93,1.0
94,-99.10000000000007
95,-76.30000000000001
96,-93.40000000000003
97,-120.00000000000011
98,-112.40000000000009
99,-83.9
100,-18.799999999999997
101,-65.29999999999998
102,-120.00000000000011
103,-3.8
104,-96.50000000000006
105,-101.00000000000006
106,-116.2000000000001
107,-108.60000000000008
108,-85.90000000000003
109,-103.30000000000007
110,1.0
111,-102.90000000000006
112,-64.09999999999998
113,-116.2000000000001
114,-80.10000000000001
115,-89.60000000000004
116,0.5
117,-1.9
118,-43.29999999999999
119,-83.90000000000003
120,-9.1
121,-66.29999999999998
122,-120.00000000000011
123,-68.19999999999999
124,-69.6
125,-13.0
126,-107.50000000000009
127,-89.60000000000004
128,-85.80000000000003
129,-7.199999999999999
130,-1.9
131,-3.8
132,1.0
133,-7.199999999999999
134,1.0
135,1.0
136,-4.3
137,1.0
138,-106.70000000000007
139,-1.4
140,-26.899999999999995
141,-82.00000000000001
142,-35.199999999999996
143,-102.90000000000006
144,-110.50000000000009
145,-95.30000000000004
146,-55.79999999999998
147,-7.199999999999999
148,-19.299999999999997
